ilgis_cm
14.73
12.89
16.07
13.03
13.39
15.18
14.94
13.63
16.38
17.81
16.8
13.47
13.49
13.58
14.87
21.1
15.05
15.36
16.57
14.88
14.24
16.34
13.91
16.65
17.53
13.83
14.13
14.21
15.14
16.69
15.65
12.23
13.91
13.2
16.92
17.18
15.74
15.22
18.16
19.36
13.17
15.38
16.44
12.75
16.86
13.68
15.7
16.2
17.34
17.87
